%time,field.header.seq,field.header.stamp,field.header.frame_id,field.ns,field.id,field.type,field.action,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.scale.x,field.scale.y,field.scale.z,field.color.r,field.color.g,field.color.b,field.color.a,field.lifetime,field.frame_locked,field.points0.x,field.points0.y,field.points0.z,field.text,field.mesh_resource,field.mesh_use_embedded_materials
1555597512637879704,653,1555597512637063980,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0156989656389,-0.0395130850375,0.418000012636,,,0
1555597512689379445,654,1555597512688807010,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.014829447493,-0.0405138507485,0.419000029564,,,0
1555597512746600047,655,1555597512745657920,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.012984232977,-0.0413212329149,0.418000012636,,,0
1555597512806012487,656,1555597512805084943,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0111476788297,-0.0403204672039,0.417000025511,,,0
1555597512860345410,657,1555597512859647035,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0093197831884,-0.0402237735689,0.416000008583,,,0
1555597512898682080,658,1555597512898108959,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.00753669487312,-0.0385166406631,0.417000025511,,,0
1555597512956775345,659,1555597512956067085,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.00663394900039,-0.0403204672039,0.417000025511,,,0
1555597513015684916,660,1555597513014867067,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.00301571539603,-0.0294267740101,0.416000008583,,,0
1555597513065032818,661,1555597513064472913,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0014907651348,-0.0195764731616,0.417000025511,,,0
1555597513119309748,662,1555597513118483066,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.00300846621394,-0.0185849945992,0.415000021458,,,0
1555597513180927802,663,1555597513179095029,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.000585198868066,-0.0149946464226,0.415000021458,,,0
1555597513243770573,664,1555597513243136882,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.000582378648687,-0.0113493371755,0.413000017405,,,0
1555597513296652453,665,1555597513295861005,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.00508951442316,-0.00603327760473,0.416000008583,,,0
1555597513352905269,666,1555597513352247953,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.00775380013511,-0.000631726579741,0.414000034332,,,0
1555597513408739707,667,1555597513407933950,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.00860826391727,0.00293571921065,0.412000030279,,,0
1555597513468397421,668,1555597513467749118,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.00952324364334,0.00472936779261,0.413000017405,,,0
1555597513530457851,669,1555597513529541015,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.00950018595904,0.00560901453719,0.412000030279,,,0
1555597513582001560,670,1555597513581075906,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.00860826391727,0.00828231032938,0.412000030279,,,0
1555597513632268792,671,1555597513631598949,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.00862915813923,0.0100889354944,0.413000017405,,,0
1555597513692812283,672,1555597513691742897,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.00950018595904,0.0118467044085,0.412000030279,,,0
